amount,transaction_hour,distance_from_usual_location,device_risk_score,location_risk_score,previous_failed_transactions,previous_fraud_history,recent_transaction_count,account_age_days,merchant_category,payment_method,is_fraud
1487.3,12,156.99,0.834,0.531,0,0,2,459,travel,card,0
387.62,23,28.94,0.497,0.828,1,0,3,1507,grocery,netbanking,0
2322.62,1,101.77,0.673,0.873,0,0,2,728,travel,card,0
2808.95,19,150.92,0.374,0.48,0,0,5,233,fashion,upi,0
155.86,12,25.67,0.369,0.986,0,0,4,1710,grocery,upi,0
298.22,17,150.44,0.032,0.875,1,0,4,1054,travel,card,0
1246.18,2,8.06,0.424,0.51,0,0,4,794,travel,upi,0
799.32,20,68.36,0.408,0.069,0,0,4,1115,fashion,upi,0
1078.36,0,13.49,0.225,0.224,0,0,1,805,grocery,netbanking,0
467.29,21,97.56,0.247,0.776,0,0,0,262,fashion,card,1
2642.28,15,62.11,0.584,0.111,0,0,5,1127,fashion,netbanking,0
2387.0,8,89.6,0.318,0.47,0,0,6,1928,grocery,card,0
1171.49,0,135.1,0.83,0.605,0,1,3,1903,grocery,netbanking,0
3385.45,14,55.09,0.111,0.878,1,0,4,1279,fashion,netbanking,0
1750.24,2,20.96,0.578,0.847,0,0,2,333,gaming,netbanking,1
464.38,14,154.78,0.16,0.764,1,0,3,455,gaming,netbanking,0
1585.65,18,220.8,0.528,0.408,1,0,3,637,fashion,card,0
420.36,6,157.12,0.553,0.142,0,0,4,111,gaming,upi,0
2639.78,5,11.67,0.642,0.67,1,0,1,288,fashion,card,0
1043.23,5,125.74,0.427,0.181,0,0,5,1552,grocery,upi,0
911.54,5,82.21,0.509,0.561,2,0,1,863,travel,upi,0
555.06,2,44.32,0.181,0.981,1,0,2,1684,electronics,upi,1
3723.95,5,10.06,0.463,0.55,1,0,1,132,electronics,card,0
939.62,15,95.35,0.373,0.646,1,0,1,190,grocery,card,1
714.56,7,86.46,0.666,0.678,1,0,5,1382,grocery,netbanking,0
771.14,18,21.66,0.435,0.83,2,0,3,522,fashion,card,1
1867.41,19,38.86,0.779,0.435,1,0,8,459,grocery,upi,0
1580.42,18,14.09,0.426,0.498,1,0,3,1288,fashion,upi,1
1656.95,12,212.71,0.236,0.176,2,0,3,1827,electronics,card,0
1687.19,7,52.47,0.274,0.615,0,0,4,843,travel,card,0
9336.13,22,75.04,0.045,0.296,3,0,5,1527,electronics,upi,0
730.39,4,67.6,0.54,0.508,0,0,7,691,electronics,card,0
657.05,11,124.27,0.831,0.767,2,0,3,1679,travel,netbanking,0
486.01,10,84.21,0.769,0.018,1,0,3,854,fashion,upi,0
2030.38,17,23.83,0.438,0.564,1,0,7,311,travel,netbanking,1
3391.31,13,50.01,0.196,0.173,2,0,6,1015,fashion,upi,0
978.53,19,29.69,0.863,0.279,0,0,5,592,gaming,netbanking,1
